Date,Price
2021-01-12,7160
2021-01-13,7120
2021-01-14,7020
2021-01-15,6955
2021-01-18,7120
2021-01-19,7095
2021-01-20,7095
2021-01-21,7075
2021-01-22,7080
2021-01-25,7035
2021-01-26,6820
2021-01-27,6790
2021-01-28,6900
2021-01-29,6760
2021-02-01,6820
2021-02-02,6800
2021-02-03,6825
2021-02-04,6855
2021-02-05,6915
2021-02-08,6920
2021-02-09,6980
2021-02-10,6920
2021-02-11,6880
2021-02-15,6800
2021-02-16,6940
2021-02-17,6900
2021-02-18,6735
2021-02-19,6825
2021-02-22,6790
2021-02-23,6825
2021-02-24,6725
2021-02-25,6705
2021-02-26,6710
2021-03-01,7045
2021-03-02,7015
2021-03-03,7000
2021-03-04,6720
2021-03-05,6800
2021-03-08,6720
2021-03-09,6605
2021-03-10,6705
2021-03-12,6765
2021-03-15,6665
2021-03-16,6625
2021-03-17,6610
2021-03-18,6705
2021-03-19,6760
2021-03-22,6620
2021-03-23,6565
2021-03-24,6440
2021-03-25,6370
2021-03-26,6415
2021-03-29,6360
2021-03-30,6395
2021-03-31,6215
2021-04-01,6225
2021-04-05,6155
2021-04-06,6165
2021-04-07,6250
2021-04-08,6135
2021-04-09,6200
2021-04-12,6065
2021-04-13,6000
2021-04-14,6305
2021-04-15,6280
2021-04-16,6275
2021-04-19,6270
2021-04-20,6235
2021-04-21,6165
2021-04-22,6215
2021-04-23,6390
2021-04-26,6285
2021-04-27,6405
2021-04-28,6320
2021-04-29,6410
2021-04-30,6405
2021-05-03,6390
2021-05-04,6400
2021-05-05,6425
2021-05-06,6425
2021-05-07,6400
2021-05-10,6420
2021-05-11,6480
2021-05-17,6500
2021-05-18,6390
2021-05-19,6345
2021-05-20,6380
2021-05-21,6360
2021-05-24,6325
2021-05-25,6355
2021-05-27,6270
2021-05-28,6340
2021-05-31,6375
2021-06-02,6465
2021-06-03,6600
2021-06-04,6580
2021-06-07,6530
2021-06-08,6430
2021-06-09,6530
2021-06-10,6620
2021-06-11,6470
2021-06-14,6410
2021-06-15,6470
2021-06-16,6385
2021-06-17,6330
2021-06-18,6325
2021-06-21,6250
2021-06-22,6340
2021-06-23,6230
2021-06-24,6210
2021-06-25,6190
2021-06-28,6055
2021-06-29,6045
2021-06-30,6025
2021-07-01,6025
2021-07-02,6100
2021-07-05,6110
2021-07-06,6055
2021-07-07,6065
2021-07-08,6015
2021-07-09,6020
2021-07-12,6170
2021-07-13,6045
2021-07-14,5990
2021-07-15,6115
2021-07-16,6110
2021-07-19,6005
2021-07-21,6010
2021-07-22,6155
2021-07-23,6035
2021-07-26,6005
2021-07-27,6005
2021-07-28,5980
2021-07-29,6040
2021-07-30,5970
2021-08-02,5960
2021-08-03,6145
2021-08-04,6120
2021-08-05,6300
2021-08-06,6160
2021-08-09,6200
2021-08-10,6300
2021-08-12,6300
2021-08-13,6410
2021-08-16,6420
2021-08-18,6600
2021-08-19,6600
2021-08-20,6600
2021-08-23,6590
2021-08-24,6600
2021-08-25,6600
2021-08-26,6560
2021-08-27,6510
2021-08-30,6565
2021-08-31,6550
2021-09-01,6565
2021-09-02,6540
2021-09-03,6600
2021-09-06,6575
2021-09-07,6570
2021-09-08,6440
2021-09-09,6570
2021-09-10,6520
2021-09-13,6555
2021-09-14,6545
2021-09-15,6495
2021-09-16,6500
2021-09-17,6520
2021-09-20,6585
